#TinyMapData
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58
58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58
58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58
58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58
58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58
58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58
58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58
58,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,58
58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58
58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58
58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58
58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58
58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58
58,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,58
58,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,58
58,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,58
58,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,58
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
